Year,Month,Palestinians Injuries,Israelis Injuries,Palestinians Killed,Israelis Killed
2000,DECEMBER,781,n/a,51,8
2000,NOVEMBER,3838,n/a,112,22
2000,OCTOBER,5984,n/a,104,10
2000,SEPTEMBER,n/a,n/a,16,1
2001,DECEMBER,304,n/a,67,36
2001,NOVEMBER,160,n/a,39,14
2001,OCTOBER,407,n/a,89,14
2001,SEPTEMBER,657,n/a,59,13
2001,AUGUST,502,n/a,37,26
2001,JULY,394,n/a,32,10
2001,JUNE,319,n/a,13,28
2001,MAY,932,n/a,46,17
2001,APRIL,715,n/a,23,7
2001,MARCH,927,n/a,27,8
2001,FEBRUARY,598,n/a,19,13
2001,JANUARY,471,n/a,19,6
2002,DECEMBER,185,n/a,72,7
2002,NOVEMBER,264,n/a,46,40
2002,OCTOBER,388,n/a,66,22
2002,SEPTEMBER,353,n/a,51,13
2002,AUGUST,186,n/a,53,13
2002,JULY,374,n/a,43,25
2002,JUNE,299,n/a,57,57
2002,MAY,181,n/a,48,29
2002,APRIL,523,n/a,246,46
2002,MARCH,870,n/a,237,122
2002,FEBRUARY,429,n/a,85,29
2002,JANUARY,330,n/a,28,16
2003,DECEMBER,322,n/a,48,6
2003,NOVEMBER,106,n/a,30,4
2003,OCTOBER,289,n/a,58,27
2003,SEPTEMBER,226,n/a,29,21
2003,AUGUST,191,n/a,26,25
2003,JULY,34,n/a,4,2
2003,JUNE,367,n/a,59,28
2003,MAY,239,n/a,61,13
2003,APRIL,303,n/a,59,6
2003,MARCH,379,n/a,85,23
2003,FEBRUARY,244,n/a,69,8
2003,JANUARY,292,n/a,60,22
2004,DECEMBER,161,n/a,61,8
2004,NOVEMBER,98,n/a,42,3
2004,OCTOBER,343,n/a,145,3
2004,SEPTEMBER,579,n/a,112,11
2004,AUGUST,287,n/a,39,17
2004,JULY,251,n/a,0,0
2004,JUNE,377,n/a,59,3
2004,MAY,545,n/a,113,19
2004,APRIL,346,n/a,55,3
2004,MARCH,417,n/a,79,11
2004,FEBRUARY,437,n/a,54,11
2004,JANUARY,168,n/a,27,15
2005,DECEMBER,166,88,20,8
2005,NOVEMBER,99,17,15,1
2005,OCTOBER,81,46,22,10
2005,SEPTEMBER,90,25,17,1
2005,AUGUST,130,16,11,0
2005,JULY,165,105,25,8
2005,JUNE,116,20,5,4
2005,MAY,81,17,10,1
2005,APRIL,183,19,5,0
2005,MARCH,68,17,1,0
2005,FEBRUARY,42,62,9,5
2005,JANUARY,164,61,50,13
2006,DECEMBER,73,12,14,0
2006,NOVEMBER,491,30,134,0
2006,OCTOBER,180,19,61,0
2006,SEPTEMBER,196,24,32,1
2006,AUGUST,266,10,74,1
2006,JULY,799,41,180,2
2006,JUNE,198,26,43,3
2006,MAY,257,14,37,0
2006,APRIL,254,78,31,7
2006,MARCH,203,46,15,5
2006,FEBRUARY,194,30,31,1
2006,JANUARY,88,47,13,0
2007,DECEMBER,13720,20,61,2
2007,NOVEMBER,127,6,31,1
2007,OCTOBER,152,13,36,2
2007,SEPTEMBER,135,87,34,0
2007,AUGUST,154,56,47,0
2007,JULY,67,7,27,1
2007,JUNE,162,19,40,0
2007,MAY,281,30,62,2
2007,APRIL,115,22,16,0
2007,MARCH,153,15,9,0
2007,FEBRUARY,256,35,12,1
2007,JANUARY,104,12,10,3
2008,DECEMBER,n/a,n/a,432,4
2008,NOVEMBER,n/a,n/a,15,0
2008,OCTOBER,n/a,n/a,4,1
2008,SEPTEMBER,n/a,n/a,3,0
2008,AUGUST,n/a,n/a,0,4
2008,JULY,n/a,n/a,8,4
2008,JUNE,n/a,n/a,30,1
2008,MAY,n/a,n/a,40,2
2008,APRIL,n/a,n/a,72,8
2008,MARCH,n/a,n/a,114,12
2008,FEBRUARY,n/a,n/a,79,2
2008,JANUARY,n/a,n/a,89,1
2009,DECEMBER,195,n/a,6,1
2009,NOVEMBER,30,n/a,1,0
2009,OCTOBER,88,n/a,0,0
2009,SEPTEMBER,80,n/a,9,0
2009,AUGUST,36,n/a,6,0
2009,JULY,26,n/a,2,0
2009,JUNE,89,n/a,4,0
2009,MAY,82,n/a,6,1
2009,APRIL,136,n/a,6,1
2009,MARCH,87,n/a,9,0
2009,FEBRUARY,65,n/a,9,0
2009,JANUARY,5557,n/a,978,6
2010,DECEMBER,105,5,13,0
2010,NOVEMBER,87,7,3,0
2010,OCTOBER,147,5,6,0
2010,SEPTEMBER,148,12,13,0
2010,AUGUST,46,11,2,4
2010,JULY,85,0,5,0
2010,JUNE,104,21,15,1
2010,MAY,118,17,2,0
2010,APRIL,119,10,5,0
2010,MARCH,402,59,8,2
2010,FEBRUARY,92,14,2,2
2010,JANUARY,86,15,8,0
2011,DECEMBER,210,6,8,0
2011,NOVEMBER,63,3,4,0
2011,OCTOBER,110,9,12,0
2011,SEPTEMBER,149,5,2,2
2011,AUGUST,191,22,30,1
2011,JULY,156,3,4,0
2011,JUNE,159,9,0,0
2011,MAY,397,36,2,0
2011,APRIL,193,10,24,2
2011,MARCH,204,13,15,5
2011,FEBRUARY,135,3,6,0
2011,JANUARY,143,5,10,0
2012,DECEMBER,198,6,2,0
2012,NOVEMBER,2252,253,181,6
2012,OCTOBER,89,1,12,0
2012,SEPTEMBER,161,7,8,0
2012,AUGUST,169,5,1,0
2012,JULY,202,12,3,0
2012,JUNE,231,4,15,1
2012,MAY,703,15,0,0
2012,APRIL,169,9,1,0
2012,MARCH,404,16,28,0
2012,FEBRUARY,256,14,2,0
2012,JANUARY,60,3,2,0
2013,DECEMBER,159,4,5,1
2013,NOVEMBER,320,5,9,1
2013,OCTOBER,105,15,4,1
2013,SEPTEMBER,374,9,2,2
2013,AUGUST,137,5,6,0
2013,JULY,138,11,1,0
2013,JUNE,124,1,0,0
2013,MAY,429,33,0,0
2013,APRIL,656,17,3,1
2013,MARCH,493,21,2,0
2013,FEBRUARY,766,24,1,0
2013,JANUARY,263,6,5,0
2014,DECEMBER,350,15,5,0
2014,NOVEMBER,984,55,8,10
2014,OCTOBER,291,32,8,2
2014,SEPTEMBER,209,22,20,0
2014,AUGUST,13735,2347,614,9
2014,JULY,(incl. Aug),(incl. Aug),1590,59
2014,JUNE,326,5,10,3
2014,MAY,265,28,3,1
2014,APRIL,302,15,0,1
2014,MARCH,228,5,12,0
2014,FEBRUARY,216,6,3,0
2014,JANUARY,219,9,6,0
2015,DECEMBER,2222,43,40,2
2015,NOVEMBER,3888,50,34,8
2015,OCTOBER,7555,80,74,10
2015,SEPTEMBER,413,39,4,1
2015,AUGUST,196,20,9,0
2015,JULY,141,8,7,0
2015,JUNE,78,14,3,2
2015,MAY,284,11,1,0
2015,APRIL,223,13,7,1
2015,MARCH,176,13,1,0
2015,FEBRUARY,167,5,4,0
2015,JANUARY,134,8,4,0
2016,DECEMBER,105,18,5,0
2016,NOVEMBER,97,7,6,0
2016,OCTOBER,169,17,8,2
2016,SEPTEMBER,210,14,11,0
2016,AUGUST,261,2,3,0
2016,JULY,256,9,9,1
2016,JUNE,167,30,7,5
2016,MAY,434,2,3,0
2016,APRIL,286,21,3,0
2016,MARCH,348,27,23,0
2016,FEBRUARY,514,8,17,2
2016,JANUARY,582,16,20,2
2017,DECEMBER,4580,10,18,0
2017,NOVEMBER,89,8,2,2
2017,OCTOBER,120,5,13,1
2017,SEPTEMBER,118,5,2,3
2017,AUGUST,135,2,2,0
2017,JULY,1772,23,20,5
2017,JUNE,790,20,8,1
2017,MAY & JUNE,(incl. Jun),(incl. Jun),6,0
2017,APRIL,150,12,5,1
2017,MARCH,189,19,7,0
2017,FEBRUARY,97,37,6,0
2017,JANUARY,44,17,7,6
2018,DECEMBER,,,14,2
2018,NOVEMBER,,,25,1
2018,OCTOBER,,,32,2
2018,SEPTEMBER,,,25,1
2018,AUGUST,,,16,0
2018,JULY,,,24,2
2018,JUNE,,,18,0
2018,MAY,,,66,1
2018,APRIL,,,34,0
2018,MARCH,,,20,3
2018,FEBRUARY,,,9,1
2018,JANUARY,,,7,1
2019,DECEMBER,,,1,0
2019,NOVEMBER,,,43,0
2019,OCTOBER,,,3,0
2019,SEPTEMBER,,,5,1
2019,AUGUST,,,11,2
2019,JULY,,,4,1
2019,JUNE,,,3,0
2019,MAY ,,,33,4
2019,APRIL,,,8,0
2019,MARCH,,,21,2
2019,FEBRUARY,,,8,1
2019,JANUARY,,,9,0
2020,DECEMBER,,,2,1
2020,NOVEMBER,,,2,0
2020,OCTOBER,,,2,0
2020,SEPTEMBER,,,1,0
2020,AUGUST,,,3,1
2020,JULY,,,1,0
2020,JUNE,,,1,0
2020,MAY ,,,4,1
2020,APRIL,,,1,0
2020,MARCH,,,2,0
2020,FEBRUARY,,,9,0
2020,JANUARY,,,6,0
2021,JANUARY,,,4,0
2021,FEBRUARY,,,1,0
2021,MARCH,,,4,0
2021,APRIL,,,1,0
2021,MAY,,,26,3
,,,,,
,,"111,475","5,160","10,000","1,275"
